Município,Classificação de % em relação a população geral,% em relação a população geral,Doses Aplicadas - D1,População,
SÃO JOÃO DA BOA VISTA,89,20,48795371,18802,91771
EMILIANÓPOLIS,90,20,4524326,660,3227
BERNARDINO DE CAMPOS,91,20,45169385,2282,11158
TORRE DE PEDRA,92,20,39636664,494,2422
SANTO EXPEDITO,93,20,35087719,638,3135
PONTES GESTAL,94,20,33372138,524,2577
PALMITAL,95,20,30352012,4522,22272
GENERAL SALGADO,96,20,27250967,2202,10862
CARDOSO,97,20,26884768,2503,12349
VERA CRUZ,98,20,25316456,2192,10823
ECHAPORÃ,99,20,18469657,1224,6064
PIRATININGA,100,20,15982565,2775,13765
MARAPOAMA,101,20,13707572,617,3064
NATIVIDADE DA SERRA,102,20,11442337,1336,6642
VOTUPORANGA,103,20,10635843,19169,95338
MERIDIANO,104,20,8368201,768,3824
DIRCE REIS,105,20,6670372,361,1799
SANTO ANTÔNIO DA ALEGRIA,106,20,5159811,1399,6977
BÁLSAMO,107,19,96936208,1825,9139
ILHA SOLTEIRA,108,19,96416306,5348,26788
INDIANA,109,19,96310719,974,4879
OSVALDO CRUZ,110,19,95151515,6584,33000
SANTO ANTÔNIO DO JARDIM,111,19,94949495,1185,5940
PRESIDENTE VENCESLAU,112,19,93532577,7891,39583
ROSANA,113,19,90049751,3240,16281
SOCORRO,114,19,82249952,8197,41352
MACAUBAL,115,19,79869891,1613,8147
BOTUCATU,116,19,75967056,29270,148130
PRESIDENTE ALVES,117,19,75490196,806,4080
GUARAÇAÍ,118,19,73462002,1636,8290
GABRIEL MONTEIRO,119,19,70461095,547,2776
ITAOCA,120,19,54954955,651,3330
TUIUTI,121,19,53561703,1363,6977
GUARANI D'OESTE,122,19,51951952,390,1998
ANDRADINA,123,19,5185483,11165,57202
PARAPUÃ,124,19,49949767,2135,10949
AREALVA,125,19,49378846,1679,8613
MONTE ALEGRE DO SUL,126,19,4797189,1580,8111
PARIQUERA-AÇU,127,19,38853116,3824,19723
RIBEIRÃO DO SUL,128,19,38753029,880,4539
SAGRES,129,19,34156379,470,2430
POMPÉIA,130,19,32166697,4284,22172
SANTO ANASTÁCIO,131,19,29933864,4027,20866
SALES,132,19,29140003,1236,6407
SERRA NEGRA,133,19,27882657,5678,29452
RUBINÉIA,134,19,21135647,609,3170
RIFAINA,135,19,17582418,698,3640
RINÓPOLIS,136,19,15470334,1908,9961
PIRAJU,137,19,9672235,5704,29869
PEDRINHAS PAULISTA,138,19,2612061,590,3101
SÃO JOSÉ DO RIO PARDO,139,19,261229,10475,55124
SÃO JOÃO DE IRACEMA,140,18,99585921,367,1932
SARUTAIÁ,141,18,98071625,689,3630
BURITIZAL,142,18,94107222,855,4514
MOCOCA,143,18,88373442,13026,68980
DOURADO,144,18,86686191,1675,8878
BARRETOS,145,18,85893856,23165,122833
PRESIDENTE PRUDENTE,146,18,79750489,43304,230371
MENDONÇA,147,18,77807727,1045,5565
ITOBI,148,18,75955171,1473,7852
AMÉRICO DE CAMPOS,149,18,74268517,1121,5981
PORANGABA,150,18,70467865,1883,10067
URUPÊS,151,18,67799539,2594,13888
TANABI,152,18,65828895,4870,26101
IEPÊ,153,18,61117891,1525,8194
ÁGUAS DE LINDÓIA,154,18,59846874,3498,18808
BARRA BONITA,155,18,59048885,6716,36126
ALTINÓPOLIS,156,18,57063507,3009,16203
SEBASTIANÓPOLIS DO SUL,157,18,57062465,660,3554
ILHA COMPRIDA,158,18,54427038,2107,11362
MIRANTE DO PARANAPANEMA,159,18,50256298,3393,18338
SÃO JOSÉ DO RIO PRETO,160,18,4937944,85993,464983
SANTA MERCEDES,161,18,48453959,544,2943
VITÓRIA BRASIL,162,18,4723727,341,1846
DESCALVADO,163,18,45473312,6258,33910
IBIRÁ,164,18,45342707,2310,12518
GARÇA,165,18,45121484,8194,44409
RIVERSUL,166,18,42733787,1003,5443
ASSIS,167,18,39713761,19333,105087
TORRINHA,168,18,39697693,1850,10056
NOVA CASTILHO,169,18,38810642,235,1278
ARAÇATUBA,170,18,35874607,36374,198129
PENÁPOLIS,171,18,25368195,11638,63757
ARAPEÍ,172,18,25203252,449,2460
OURO VERDE,173,18,24825986,1573,8620
CORONEL MACEDO,174,18,23085221,845,4635
ARARAQUARA,175,18,1946723,43365,238339
UCHOA,176,18,17554921,1845,10151
BEBEDOURO,177,18,17033073,14092,77555
PEDRA BELA,178,18,11783961,1107,6110
LINS,179,18,11268359,14219,78503
ESPÍRITO SANTO DO PINHAL,180,18,7919768,8040,44471
JOANÓPOLIS,181,18,6867596,2410,13338
BAURU,182,18,66966,68276,379297
MARÍLIA,183,18,33252,43307,240590
SUD MENNUCCI,184,17,96066253,1388,7728
IACRI,185,17,9030977,1127,6295
TABAPUÃ,186,17,89347217,2234,12485
BRAÚNA,187,17,88886954,1027,5741
EMBAÚBA,188,17,88485096,438,2449
OLÍMPIA,189,17,8487212,9840,55130
REDENÇÃO DA SERRA,190,17,84318833,685,3839
BARÃO DE ANTONINA,191,17,83876501,624,3498
SÃO BENTO DO SAPUCAÍ,192,17,80042229,1939,10893
VARGEM GRANDE DO SUL,193,17,78473672,7667,43110
PIRASSUNUNGA,194,17,76604186,13658,76877
AGUDOS,195,17,753536,6640,37401
PARANAPUÃ,196,17,75335775,727,4095
MIRASSOLÂNDIA,197,17,74750966,873,4919
PEREIRA BARRETO,198,17,74350586,4556,25677
PAULISTÂNIA,199,17,72082879,325,1834
SÃO LUIZ DO PARAITINGA,200,17,70813845,1893,10690
INÚBIA PAULISTA,201,17,6909679,711,4019
SANTA CRUZ DO RIO PARDO,202,17,61675323,8446,47943
BANANAL,203,17,61120713,1936,10993
ITUVERAVA,204,17,60019027,7400,42045
ORIENTE,205,17,5787221,1150,6542
SÃO PEDRO,206,17,56809339,6321,35980
ZACARIAS,207,17,55087209,483,2752
